binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:methoxy_C,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
281.50005371093744,9434.106513676172,12594.071428578089,2587.7571952049257,364.31289627557044,91.45297570864507,84.72584174349699,19.17995263524167,63.533179329234784,15805.033469475204,-6370.926955799032
281.60005371093735,9356.70318845764,12646.929587206327,2764.6341333862956,383.80862597152594,95.67593312656452,87.49031831384298,19.720796386410633,64.93400126321576,16063.193395654182,-6706.490207196541
281.7000537109375,10012.819231563437,12699.787745834688,2960.1308426578335,404.89842615517085,100.19686060660523,90.39191121567767,20.284794868418203,66.38121291155795,16342.071794249952,-6329.252562686515
281.8000537109374,10205.741134303444,12752.645904462928,3177.1420353071344,427.7592820351295,105.04431912259889,93.43981076430263,20.87328603791257,67.87686426219894,16644.781501992205,-6439.040367688762
281.9000537109375,10466.089412010677,12805.504063091288,3419.352887297562,452.5931840026113,110.25035645922306,96.64398771398794,21.487705685757156,69.42311856469385,16975.255302815123,-6509.1658908044465
282.00005371093744,10541.303973263446,12858.362221719528,3691.6350045324325,479.6314409809377,115.8510277135749,100.01527387150459,22.129596128519378,71.02225983920839,17338.646824785705,-6797.342851522259
282.10005371093735,11038.279359635879,12911.220380347768,4000.684687525617,509.13987712435306,121.88700815947786,103.56545255702238,22.80061581210256,72.67670096843601,17741.97472249478,-6703.6953628589
282.2000537109375,11274.964396372605,12964.07853897613,4356.027326696087,541.425124363552,128.4043175562099,107.30736030568524,23.502549938262,74.38899242562468,18195.13421026155,-6920.169813888944
282.3000537109374,11159.769001408125,13016.936697604368,4771.543125781035,576.842287225462,135.45517950048026,111.25500142827696,24.23732224011887,76.16183169834738,18712.43144547809,-7552.662444069965
282.4000537109375,12786.791728937696,13069.79485623273,5267.682442944174,615.8043522520284,143.09904514649477,115.42367731514504,25.007008050503273,77.99807347522004,19314.809455416296,-6528.0177264786
282.50005371093744,13672.137959836027,13122.653014860969,5874.5096990094435,658.7938740543833,151.40381791564397,119.83013268209463,25.813848827411505,79.90074067180404,20032.90512802175,-6360.767168185723
282.60005371093735,14754.799692235343,13175.511173489209,6635.611990840106,706.3777667809161,160.44732516924435,124.49272133158418,26.660268324759155,81.87303638348769,20910.97428231931,-6156.174590083965
282.7000537109375,15732.78888372372,13228.369332117569,7612.701701806016,759.2266269088694,170.31909486848957,129.431594447892,27.548890624206276,83.91835686715798,22011.5155976402,-6278.726713916478
282.8000537109374,18115.971792471046,13281.227490745809,8890.415563994322,818.1412558857161,181.12251087266569,134.66891497809482,28.48256027616344,86.04030567179151,23420.098602424558,-5304.126809953512
