binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
290.2000537109375,24763.713939865516,17374.081034160023,691.2411200546377,294.8102096980116,522.4828728101543,437.59887821432693,5975.644598194354,25295.858713131507,-532.1447732659908
290.3000537109374,25233.34774442724,17428.970730407345,668.1289602876578,283.3215644756448,483.1336165600582,378.47899275446645,6079.403413806194,25321.437278291367,-88.08953386412759
290.4000537109375,25428.896251200335,17483.86042665479,646.1522598997949,272.4882784535994,448.01896659583394,333.20434852791266,6142.051625564931,25325.775905696864,103.12034550347016
290.50005371093744,25638.064015921842,17538.750122902115,625.2381316293623,262.26168057315516,416.5517879695257,297.2226945960742,6161.463317112266,25301.4877347825,336.57628113934334
290.60005371093735,25807.46126074089,17593.639819149437,605.3194216865586,252.59751383887934,388.24705871945133,267.6686742850605,6136.965613372382,25244.438101051768,563.0231596891208
290.7000537109375,25820.601323211482,17648.529515396884,586.3341790008261,243.4554657973904,362.6987665992233,242.75669847747994,6069.406569698102,25153.181194969904,667.4201282415779
290.8000537109374,25362.785713612568,17703.419211644203,568.2251806995176,234.79875598873735,339.5639880409355,221.3591785019784,5961.069805215464,25028.436120090835,334.34959352173246
290.9000537109375,24388.55816970993,17758.30890789165,550.9395071364286,226.59377264206603,318.5511720685474,202.73740109726117,5815.454130614644,24872.584891450595,-484.0267217406654
291.00005371093744,24913.543212621174,17813.19860413897,534.4281606666999,218.80975204185657,299.41111591409947,186.38083719175236,5636.962846595874,24689.19131654925,224.35189607192297
291.10005371093735,24227.191205604748,17868.08830038629,518.6457231134059,211.41849495649012,281.92981531050003,171.91571501513098,5430.559121299204,24482.55717008102,-255.3659644762738
291.2000537109375,24330.661527807424,17922.977996633737,503.5500475184234,204.3941153339309,265.9227044587852,159.05434720404304,5201.43939017714,24257.33860132606,73.32292648136354
291.3000537109374,23271.182590850643,17977.86769288106,489.1019803238988,197.7128171526026,251.22996705203832,147.56697438276902,4954.760888900765,24018.240320693134,-747.0577298424905
291.4000537109375,23925.63331909827,18032.757389128506,475.2651106095823,191.3526958933695,237.71269148388492,137.26553568051068,4695.439836600903,23769.793259396756,155.84005970151338
291.50005371093744,23006.342857900483,18087.64708537583,462.0055434262749,185.29356158837126,225.249700154752,127.99366289493322,4428.019950470591,23516.20950391075,-509.8666460102686
291.60005371093735,22774.759170883237,18142.536781623152,449.29169462220045,179.51678081710443,213.73492159264592,119.61999083984689,4156.6002457677405,23261.30041526269,-486.5412443794521
