binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
533.8558081986467,44312.9267342607,25444.908207273835,1553.4972803595028,2214.8914287477564,15411.584668112511,44624.8815844936,-311.9548502329053
533.9558081986468,42288.99588952761,25475.54367992407,1441.9996963895273,1813.7081149774756,13128.561158198001,41859.812649489075,429.18324003853195
534.0558081986468,40106.15210944844,25506.179152574306,1342.115949867264,1515.327184155695,10940.848474815168,39304.470761412435,801.681348036007
534.1558081986467,37784.65405044658,25536.814625224506,1252.2005867020696,1292.3559347489745,8945.941584701228,37027.312731376776,757.3413190698047
534.2558081986467,35810.80113249469,25567.450097874742,1170.93645603228,1123.4200983653977,7200.672955440718,35062.47960771314,748.3215247815533
534.3558081986467,35040.858920098566,25598.085570524978,1097.2399167506292,992.6438127716834,5728.420045121485,33416.389345168776,1624.4695749297898
534.4558081986468,32600.03457186281,25628.721043175217,1030.2019943936182,888.7105123391757,4526.382316984787,32074.015866892798,526.0187049700107
534.5558081986468,31593.596061544937,25659.35651582545,969.0500879699558,803.8132384042232,3573.0712201624287,31005.291062362056,588.3049991828811
534.6558081986467,30536.336783529907,25689.991988475653,913.121534898583,732.6884401875235,2835.650152618017,30171.452116179775,364.8846673501321
534.7558081986467,30243.617672616292,25720.62746112589,861.8442622249216,671.8264576585566,2276.454593307527,29530.752774316894,712.8648982993982
534.8558081986467,29286.148693155657,25751.262933776125,814.7219246907385,618.879893127461,1858.102610644931,29042.967362239255,243.18133091640266
534.9558081986468,29692.616889768597,25781.89840642636,771.3220875484652,572.2495416655198,1546.9162644424937,28672.38630008284,1020.2305896857579
535.0558081986468,28311.008642263532,25812.533879076596,731.2666149676492,530.8102357524172,1314.717960228883,28389.328690025544,-78.32004776201211
535.1558081986467,27986.33432990864,25843.1693517268,694.2237394944598,493.73720058371913,1139.3144724008262,28170.444764205804,-184.110434297163
535.2558081986467,27695.953034439583,25873.80482437703,659.9014576409045,460.3995857753263,1004.0912314691295,27998.19709926239,-302.24406482280756
535.3558081986467,27845.588033675904,25904.44029702727,628.0419943160721,430.29635282605085,897.1279556177277,27859.906599787122,-14.318566111218388
535.4558081986468,27201.77511437458,25935.075769677504,598.4171401097856,403.0176609540685,810.1601671708969,27746.670737912253,-544.8956235376718
535.5558081986468,27422.742670871314,25965.711242327743,570.8243073844626,378.2210995339967,737.5981838474933,27652.354833093697,-229.61216222238363
535.6558081986467,27200.346132023173,25996.346714977943,545.0831818248863,355.6164174268034,675.7113266473831,27572.757640877015,-372.41150885384195
535.7558081986467,28190.84192996038,26026.98218762818,521.0328695685608,334.9551332522716,622.0083918160321,27504.978582265045,685.8633476953364
535.8558081986467,27270.124710437107,26057.617660278414,498.5294584611887,316.02303144166643,574.7993747820959,27446.969524963366,-176.84481452625914
535.9558081986468,27430.32297515168,26088.25313292865,477.44392665345345,298.63445751986313,532.9027428796765,27397.234259981644,33.088715170037176
536.0558081986468,27815.694336672383,26118.888605578886,457.6603435476583,282.6278140377164,495.45875839444665,27354.635521558706,461.05881511367625
536.1558081986467,27852.788791746298,26149.52407822909,439.0743176352672,267.8619136833109,461.81448659767096,27318.27479614534,534.5139956009589
536.2558081986467,27463.165457161736,26180.159550879325,421.5916535099438,254.212978820818,431.45441764667197,27287.41860085676,175.74685630497697
536.3558081986467,27243.00025002907,26210.79502352956,405.127186656516,241.57214748167078,403.9587436139198,27261.453101281666,-18.45285125259761
536.4558081986468,27391.92875121411,26241.430496179797,389.603769785649,229.84338583412782,378.97781375960216,27239.855465559176,152.073285654933
536.5558081986468,27687.00481954594,26272.065968830033,374.951388732363,218.94173173678465,356.21586377448773,27222.174953073667,464.82986647227153
536.6558081986467,28075.411498437945,26302.701441480232,361.10638943787285,208.79181047738024,335.4200598808218,27208.01970127631,867.3917971616356
536.7558081986467,27710.63530594681,26333.33691413047,348.01080043082294,199.32657570361184,316.37266395163357,27197.046954216537,513.5883517302718
536.8558081986467,27024.298549653533,26363.972386780704,335.611737628,190.48623757911935,298.8851240919587,27188.955486079783,-164.65693642625047
536.9558081986468,27867.350208959884,26394.60785943094,323.86088027505565,182.21734724618526,282.7934346721713,27183.47952162435,683.8706873355331
537.0558081986468,27712.19350766124,26425.243332081176,312.71400851918537,174.4720122755257,267.9543927976378,27180.383745673524,531.8097619877153
537.1558081986467,28115.929030100055,26455.87880473138,302.1305945047138,167.20722227433797,254.2425252691066,27179.459146779536,936.4698833205184
537.2558081986467,28589.771489956824,26486.514277381615,292.07344005788013,160.38426745007854,241.5475379986734,27180.519522888248,1409.251967068576
537.3558081986467,27603.546223035628,26517.14975003185,282.5083550172694,153.96823587006202,229.77218334619457,27183.398524265376,420.14769877025174
537.4558081986468,28444.810919046333,26547.785222682087,273.4038711019621,147.92757755425134,218.83046716107137,27187.94713849937,1256.8637805469625
537.5558081986468,27809.2877970605,26578.420695332323,264.7309869178519,142.23372549993078,208.64613472571844,27194.031542475823,615.2562545846777
537.6558081986467,27976.067211136815,26609.056167982522,256.46294030336645,136.86076534656186,199.15138722660117,27201.53126085905,774.5359502777646
537.7558081986467,27620.68070794866,26639.69164063276,248.5750047273835,131.78514671518008,190.28578973805855,27210.33758181338,410.34312613528164
537.8558081986467,27201.728113506008,26670.327113282994,241.04430688873234,126.98543035279643,181.99533898414307,27220.352189508667,-18.62407600265942
537.9558081986468,28243.30685299504,26700.96258593323,233.849663039564,122.44206612086793,174.231664912049,27231.48598000571,1011.8208729893304
